metric_id,attack_vector,current_detectability,evidence_fields,recommended_safeguard
M1,Add low-value or generated source files to increase apparent project size.,medium,loc_per_tag_all.code_lines; metrics_window_totals_human_all.total_churn,"Use M1 only as context or normalization, not as direct reputation evidence."
M1,Large formatting or vendoring changes alter size without improving maintainership.,medium,loc_per_tag_all; churn_per_kloc_day; window_duration_flags_all,Flag large LOC jumps and interpret them with churn and release-window context.
M2,Inflate churn through unnecessary rewrites or formatting-only commits.,high,metrics_window_dev_human_all.churn; churn_per_kloc_day; ownership_dev_shares_human_all.share_churn,"Do not reward churn alone; compare against cadence, ownership concentration, and short-window flags."
M2,Concentrate a large churn spike in a short release window.,high,window_duration_flags_all.analysis_set; churn_per_day; top1_share_churn,Report robust results excluding sensitivity-only windows and inspect top-contributor shares.
M3,Split one logical change into many commits to inflate cadence.,high,commits_per_day; churn_per_day; active_days_per_window_day,Compare commits/day with churn/day and active-day coverage before interpreting activity.
M3,Use automation or bot-like activity to inflate commit/activity counts.,high,is_bot; bot_summary_by_project_all; bot_summary_by_window_all,Use human-only M3 outputs as primary evidence and retain bot summaries as sensitivity checks.
M4,Create dominance through one large churn event rather than sustained responsibility.,high,top1_share_churn; gini_churn; churn_per_kloc_day,"Interpret high concentration with churn magnitude, window duration, and adjacent-window stability."
M4,Coordinate identities or aliases to change apparent ownership distribution.,medium,canonical author_email; ownership_dev_shares_human_all; clean_all_metrics.log,Keep identity canonicalization explicit and report residual identity-linkage risk.
M5,Post quick superficial replies to improve response time without resolving maintenance work.,low,Not available in current Phase I artifacts.,Do not select M5 for the baseline PoC without issue/PR event data and response-quality rules.
M5,Selectively respond to easy events while ignoring difficult issues.,low,Not available in current Phase I artifacts.,"Require event severity, closure, and sampling rules before using responsiveness."
