metric_id,metric_name,implementation_status,decision_role,dimension_id,dimension,score,max_score,score_label,exclusion_sensitive,rationale
M1,Snapshot size (LOC/SLOC),implemented,context_only,D1,Determinism of computation,2,2,strong,True,Deterministic when the source-extension policy and tool version are pinned.
M1,Snapshot size (LOC/SLOC),implemented,context_only,D2,Bounded on-chain computation,2,2,strong,False,The contract stores and checks commitments; line counting stays off-chain.
M1,Snapshot size (LOC/SLOC),implemented,context_only,D3,Bounded on-chain storage growth,2,2,strong,False,"Only a compact line-count value, metadata, and evidence hash need to be stored."
M1,Snapshot size (LOC/SLOC),implemented,context_only,D4,Update frequency feasibility,2,2,strong,True,A per-release update cadence is sufficient.
M1,Snapshot size (LOC/SLOC),implemented,context_only,D5,External data/oracle dependence,2,2,strong,True,The input is the hash-pinned artifact rather than an unverifiable external service.
M1,Snapshot size (LOC/SLOC),implemented,context_only,D6,Auditability and re-checking,2,2,strong,True,"Auditors can retrieve the artifact, verify the hash, and recompute the line count."
M1,Snapshot size (LOC/SLOC),implemented,context_only,D7,Identity binding and provenance,1,2,partial,False,"The submission can be signed, but project size is not developer-specific attribution."
M1,Snapshot size (LOC/SLOC),implemented,context_only,D8,Integrity of artifact linkage,2,2,strong,True,Artifact hash and version metadata provide a strong linkage path.
M1,Snapshot size (LOC/SLOC),implemented,context_only,D9,Metric-value representation,2,2,strong,False,The metric is stored as bounded integer line counts or KLOC fixed-point values.
M1,Snapshot size (LOC/SLOC),implemented,context_only,D10,Adversarial resilience,1,2,partial,False,"Size can be inflated with low-value code, so it is safe only as context."
M2,Patch complexity proxy (churn),implemented,eligible_supporting_candidate,D1,Determinism of computation,2,2,strong,True,"Deterministic from frozen tags, hashes, diff policy, and tool version."
M2,Patch complexity proxy (churn),implemented,eligible_supporting_candidate,D2,Bounded on-chain computation,2,2,strong,False,Diff computation remains off-chain; the contract records bounded values.
M2,Patch complexity proxy (churn),implemented,eligible_supporting_candidate,D3,Bounded on-chain storage growth,1,2,partial,False,"Window totals are compact, but developer-level histories can grow with contributor count."
M2,Patch complexity proxy (churn),implemented,eligible_supporting_candidate,D4,Update frequency feasibility,2,2,strong,True,Release-window updates avoid per-commit writes.
M2,Patch complexity proxy (churn),implemented,eligible_supporting_candidate,D5,External data/oracle dependence,1,2,partial,True,"The metric needs release-window history and previous artifacts, but those inputs can be hash-anchored."
M2,Patch complexity proxy (churn),implemented,eligible_supporting_candidate,D6,Auditability and re-checking,2,2,strong,True,Auditors can replay the window diff from pinned release evidence.
M2,Patch complexity proxy (churn),implemented,eligible_supporting_candidate,D7,Identity binding and provenance,1,2,partial,False,Developer attribution depends on commit-author mapping and canonicalization rules.
M2,Patch complexity proxy (churn),implemented,eligible_supporting_candidate,D8,Integrity of artifact linkage,2,2,strong,True,Frozen tags and artifact hashes give a strong integrity boundary.
M2,Patch complexity proxy (churn),implemented,eligible_supporting_candidate,D9,Metric-value representation,2,2,strong,False,"Added, deleted, and churn values are integer counts; rates can be fixed-point."
M2,Patch complexity proxy (churn),implemented,eligible_supporting_candidate,D10,Adversarial resilience,1,2,partial,False,"Artificial churn is possible, so safeguards from C3 remain necessary."
M3,Activity cadence,implemented,eligible_candidate,D1,Determinism of computation,2,2,strong,True,"Deterministic from frozen window boundaries, commit timestamps, and bot-handling policy."
M3,Activity cadence,implemented,eligible_candidate,D2,Bounded on-chain computation,2,2,strong,False,Commit traversal is off-chain; the contract stores only compact values.
M3,Activity cadence,implemented,eligible_candidate,D3,Bounded on-chain storage growth,2,2,strong,False,"Commit counts, active-day counts, and normalized rates are compact records."
M3,Activity cadence,implemented,eligible_candidate,D4,Update frequency feasibility,2,2,strong,True,Release-window batching avoids high-frequency per-commit ledger writes.
